City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Muros,ES,61.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
292,Xining,CN,61.54,clear sky,36.6167,101.7667,Super Leisure Hotel
293,Ambanja,MG,77.76,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
294,Cahul,MD,58.84,clear sky,45.9075,28.1944,Auto Lux
295,Lundazi,ZM,71.08,clear sky,-12.2929,33.1782,Knox Lodge
297,Severo-Kurilsk,RU,53.17,clear sky,50.6789,156.125,Kak Doma
298,Santa Isabel,BR,60.44,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
300,Raudeberg,NO,52.47,overcast clouds,61.9875,5.1352,Nordre Silda.
301,Pushkar,IN,86.61,clear sky,26.5,74.55,Orchard - Tents and Tranquility
302,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
304,Abu Dhabi,AE,87.96,clear sky,24.4667,54.3667,Beach Rotana
305,Mocuba,MZ,76.59,clear sky,-16.8392,36.9856,Phama Lodge
307,Pontes E Lacerda,BR,72.81,broken clouds,-15.2261,-59.3353,Hotel Bressan
310,San Juan,AR,55.27,overcast clouds,-31.5375,-68.5364,Hotel Provincial
311,Vao,NC,74.28,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
312,Kulu,TR,65.3,scattered clouds,39.0951,33.0799,Kapadokya Motel
313,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
314,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
315,Todos Santos,MX,80.65,clear sky,23.45,-110.2167,Hotel California Todos Santos
317,Prescott,US,71.87,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
318,Santa Fe,AR,63.99,light rain,-31.6333,-60.7,Conquistador Hotel
321,Lanzhou,CN,72.9,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
322,Tahta,EG,86.86,clear sky,26.7693,31.5021,فندق الزيات
323,Te Anau,NZ,50.65,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
325,Carballo,ES,60.01,overcast clouds,43.213,-8.691,Pazo do Souto
326,Alanya,TR,73.94,broken clouds,36.5438,31.9998,Panorama Hotel
327,Mercedes,AR,52.65,few clouds,-34.6515,-59.4307,Posada del Inti Centro
328,Ribeira Grande,PT,70.02,few clouds,38.5167,-28.7,Quinta da Meia Eira
329,Wahiawa,US,76.77,few clouds,21.5028,-158.0236,The Inn At Schofield
330,Beira,MZ,75.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
331,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
333,Yamada,JP,66.45,overcast clouds,39.4667,141.95,Iroha-ya Inn
335,Prado,BR,72.43,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
336,Ellisras,ZA,69.26,clear sky,-23.6649,27.7443,Lapa le le guesthouse
337,Port Blair,IN,83.3,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
338,Fortuna,US,53.98,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
339,Ulladulla,AU,67.1,light rain,-35.35,150.4667,Sandpiper Motel
340,Doha,QA,87.78,clear sky,25.2867,51.5333,Mövenpick Doha
342,Bathsheba,BB,78.04,overcast clouds,13.2167,-59.5167,Atlantis Hotel
343,Avera,US,62.11,overcast clouds,33.194,-82.5271, 
345,Abha,SA,67.71,clear sky,18.2164,42.5053,Abha Hotel
346,Levashi,RU,64.15,broken clouds,42.4304,47.3215,Gostinitsa Islam
347,Romitan,UZ,67.95,clear sky,39.9343,64.3814,Hotel Temur
348,Gizo,SB,84.67,broken clouds,-8.103,156.8419,Imagination Island
349,Kavieng,PG,84.69,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
350,Buala,SB,83.77,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
352,Lamar,US,70.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
353,Almeirim,BR,74.55,broken clouds,-1.5233,-52.5817,Ricácio Hotel
354,Tarija,BO,55.89,broken clouds,-21.5355,-64.7296,Hostal Granny
355,Coxim,BR,76.15,broken clouds,-18.5067,-54.76,Rancho Da Curica
357,Ambilobe,MG,79.32,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
358,Pangoa,PE,71.02,overcast clouds,-12.1167,-73.0, 
359,Faya,SA,67.75,clear sky,18.3851,42.4509,شيلة نسايم
360,Broken Hill,AU,60.01,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
361,Christchurch,NZ,61.41,broken clouds,-43.5333,172.6333,The George
363,Kalmunai,LK,86.7,overcast clouds,7.4167,81.8167,VS Villa
364,Tete,MZ,78.89,smoke,-16.1564,33.5867,Zambeze Paraíso Misterioso
365,Vanino,RU,75.76,clear sky,49.0869,140.2543,Гостиница 5 Звезд
366,Kavaratti,IN,81.64,scattered clouds,10.5669,72.642,Green leaf
367,Sinop,TR,66.06,broken clouds,41.7711,34.8709, 
368,Apiai,BR,58.08,moderate rain,-24.5094,-48.8425,Pousada Villa Branca
371,Rathdrum,US,65.64,few clouds,47.8137,-116.892,Grizzly Lodge Rathdrum
372,Kota Kinabalu,MY,87.78,moderate rain,5.9749,116.0724,Gaya Centre Hotel
373,Dilla,ET,66.27,broken clouds,6.41,38.31,Afomiya Pension
375,Vanimo,PG,83.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
376,Acarau,BR,77.54,clear sky,-2.8856,-40.12,castelo pizzaria
377,Kyzyl-Suu,KG,60.04,scattered clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
378,Upington,ZA,74.37,overcast clouds,-28.4478,21.2561,River Place Manor
380,Noumea,NC,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
382,Boma,GH,70.36,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
383,Cozumel,MX,78.46,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
384,Daloa,CI,68.49,light rain,6.8774,-6.4502,Imans Hotel Daloa
385,Malgrat De Mar,ES,63.95,broken clouds,41.6466,2.7414,AQUA Hotel Aquamarina & Spa
388,Hirara,JP,82.26,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
389,Sucua,EC,64.98,broken clouds,-2.4667,-78.1667,Finca el Piura
390,Thakurgaon,BD,85.93,overcast clouds,26.0333,88.4667,Chowdhury Khokon Fisheries Head Office
391,Urucara,BR,76.73,clear sky,-2.5364,-57.76,Pousada Maria Bonita
392,Payakumbuh,ID,84.42,overcast clouds,-0.2202,100.6308,Dalimo Homestay
393,Richards Bay,ZA,71.71,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
394,Charters Towers,AU,80.19,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
395,Qingdao,CN,74.39,overcast clouds,36.0986,120.3719,Le Meridien Qingdao
397,Perth,AU,81.01,clear sky,-31.9333,115.8333,Quest on Rheola
400,Morondava,MG,76.75,clear sky,-20.2833,44.2833,La Case Bambou
401,Dwarka,IN,82.35,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
403,Shingu,JP,76.15,broken clouds,33.7333,135.9833,Shingu UI Hotel
405,Menongue,AO,63.09,broken clouds,-14.6585,17.691,Ritz Lauca
406,Lusambo,CD,68.29,overcast clouds,-4.9667,23.45, 
407,Roebourne,AU,86.49,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
408,San Cristobal,VE,66.25,overcast clouds,7.7669,-72.225,Pirineos
409,Port Keats,AU,89.24,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
410,Tucuman,AR,55.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
411,Marzuq,YE,81.61,clear sky,14.4,46.4667,حيد القفلة
412,Keita,NE,79.54,overcast clouds,14.7551,5.7749, 
413,Jacareacanga,BR,79.32,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
414,Porto Novo,BJ,74.3,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
416,Baculin,PH,78.85,moderate rain,7.4525,126.5842,Baculin Cove Beach Resort
417,Srivardhan,IN,81.68,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
418,Gorontalo,ID,89.8,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
419,Arzignano,IT,58.48,overcast clouds,45.5193,11.3386,La Pieve Hotel
