City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Kaitangata,NZ,-46.2817,169.8464,55.08,76,77,3.69,broken clouds
190,Tasiilaq,GL,65.6145,-37.6368,35.76,97,99,3.11,overcast clouds
191,Avarua,CK,-21.2078,-159.775,77.05,88,75,6.91,broken clouds
192,La Primavera,CO,5.4906,-70.4092,74.01,91,100,7.2,overcast clouds
193,Leningradskiy,RU,69.3833,178.4167,26.4,81,100,4.72,overcast clouds
194,Asyut,EG,27.181,31.1837,85.71,24,0,5.19,clear sky
195,Necochea,AR,-38.5473,-58.7368,40.17,71,0,5.48,clear sky
196,Iqaluit,CA,63.7506,-68.5145,31.69,68,93,13.0,overcast clouds
197,Saldanha,ZA,-33.0117,17.9442,56.01,85,46,7.87,scattered clouds
198,Luderitz,NA,-26.6481,15.1594,55.74,62,14,9.31,few clouds
199,Qaqortoq,GL,60.7167,-46.0333,42.57,98,100,1.9,overcast clouds
200,Haines Junction,CA,60.7522,-137.5108,36.81,87,27,3.29,scattered clouds
201,Bridlington,GB,54.0831,-0.1919,46.53,80,27,12.48,scattered clouds
202,Pitkyaranta,RU,61.5734,31.4792,45.3,92,99,10.16,overcast clouds
203,Puerto Ayora,EC,-0.7393,-90.3518,65.55,92,93,3.0,overcast clouds
204,Pafos,CY,34.7667,32.4167,69.58,68,20,9.22,few clouds
205,Tumbes,PE,-3.5667,-80.4414,69.87,78,64,3.53,broken clouds
206,Saint-Joseph,RE,-21.3667,55.6167,71.98,63,28,9.15,scattered clouds
207,Tuktoyaktuk,CA,69.4541,-133.0374,32.52,84,100,20.4,overcast clouds
208,Takoradi,GH,4.8845,-1.7554,74.37,92,99,7.94,light rain
209,Mahibadhoo,MV,3.7833,72.9667,81.95,74,97,16.02,overcast clouds
210,La Ronge,CA,55.1001,-105.2842,56.68,51,100,7.87,overcast clouds
211,Sistranda,NO,63.7256,8.834,55.36,74,79,19.75,broken clouds
212,Salinopolis,BR,-0.6136,-47.3561,78.12,86,14,9.57,few clouds
213,Krasnoselkup,RU,65.7,82.4667,32.63,52,54,10.69,broken clouds
214,Aksu,CN,41.1231,80.2644,78.4,18,10,2.42,clear sky
215,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,100,40,3.44,mist
216,Trairi,BR,-3.2778,-39.2689,77.61,76,5,13.8,clear sky
217,Komsomolskiy,UZ,40.4272,71.7189,70.52,30,0,6.91,clear sky
218,Guiberoua,CI,6.2392,-6.1727,68.68,99,98,1.68,light rain
219,Remagen,DE,50.5788,7.227,48.78,93,98,7.87,overcast clouds
220,Alofi,NU,-19.0595,-169.9187,78.06,80,38,12.8,light rain
221,Cravo Norte,CO,6.3017,-70.2041,73.96,92,100,6.49,overcast clouds
222,Cidreira,BR,-30.1811,-50.2056,58.21,92,8,4.79,clear sky
223,Lata,PT,40.1629,-8.3327,56.91,98,54,3.09,broken clouds
224,Paso De Los Toros,UY,-32.8167,-56.5167,51.51,89,34,11.9,scattered clouds
225,Bundaberg,AU,-24.85,152.35,73.22,87,97,1.99,light rain
226,Baruun-Urt,MN,46.6806,113.2792,72.68,18,100,10.89,overcast clouds
227,East London,ZA,-33.0153,27.9116,68.94,100,75,14.97,broken clouds
228,High Level,CA,58.5169,-117.136,59.83,61,18,3.13,few clouds
229,Alta Floresta,BR,-9.8756,-56.0861,70.29,90,28,1.92,scattered clouds
230,Skawina,PL,49.9752,19.8287,48.94,87,20,6.91,few clouds
231,Kondopoga,RU,62.2057,34.2614,44.28,92,97,7.23,overcast clouds
232,Ahipara,NZ,-35.1667,173.1667,61.16,76,99,10.83,light rain
233,Moengo,SR,5.6167,-54.4,74.43,91,79,3.42,broken clouds
234,Tautira,PF,-17.7333,-149.15,77.58,77,23,12.84,few clouds
235,Gunjur,GM,13.2019,-16.7339,75.27,100,40,0.0,scattered clouds
236,Chuy,UY,-33.6971,-53.4616,53.37,93,1,9.4,clear sky
237,Manaure,CO,11.7751,-72.4445,82.56,79,84,7.74,light rain
238,Provideniya,RU,64.3833,-173.3,41.36,87,100,11.18,overcast clouds
239,Katobu,ID,-4.9408,122.5276,91.08,49,49,1.19,scattered clouds
240,Terney,RU,45.0503,136.6092,67.57,67,0,9.95,clear sky
241,Axim,GH,4.8699,-2.2405,74.53,91,96,7.29,light rain
242,Sovetskiy,RU,61.3614,63.5842,31.6,65,57,8.93,broken clouds
243,Yungay,PE,-9.1383,-77.7436,59.9,71,95,0.83,light rain
244,Xixiang,CN,35.1628,112.865,88.48,25,0,6.76,clear sky
245,Kargil,IN,34.5667,76.1,54.16,37,5,3.44,clear sky
246,Narrabri,AU,-30.3167,149.7833,67.51,48,11,5.99,few clouds
247,Bow Island,CA,49.8668,-111.3684,66.52,25,48,9.6,scattered clouds
248,Abu Samrah,SY,35.3029,37.1841,67.98,46,0,5.77,clear sky
249,Hami,CN,42.8,93.45,80.11,19,0,14.63,clear sky
250,Dingle,PH,10.9995,122.6711,82.83,76,100,1.5,heavy intensity rain
251,Katsuura,JP,35.1333,140.3,77.13,52,3,13.35,clear sky
252,Campbell River,CA,50.0163,-125.2446,61.45,89,82,0.85,broken clouds
253,Birin,NP,26.8865,88.0718,71.92,70,36,5.01,scattered clouds
254,Oranjemund,NA,-28.55,16.4333,53.98,89,31,6.8,scattered clouds
255,Sulangan,PH,11.1373,123.7228,81.79,76,89,4.68,light rain
256,Harper,LR,4.375,-7.7169,74.84,91,85,9.46,moderate rain
257,Golden Gate,US,26.1879,-81.6951,78.98,69,100,32.59,moderate rain
258,Dodge City,US,37.7528,-100.0171,67.93,56,1,3.0,clear sky
259,Lebu,CL,-37.6167,-73.65,49.08,86,0,10.27,clear sky
260,Ketchikan,US,55.3422,-131.6461,57.9,95,100,3.71,overcast clouds
261,Khartoum,SD,15.5518,32.5324,89.98,34,19,6.85,few clouds
262,Coahuayana,MX,18.7333,-103.6833,77.61,95,100,2.73,overcast clouds
263,Sungaipenuh,ID,-2.0833,101.3833,77.41,64,98,4.34,overcast clouds
264,Kodiak,US,57.79,-152.4072,48.43,93,100,26.57,moderate rain
265,Mwinilunga,ZM,-11.7358,24.4293,65.64,44,44,2.42,scattered clouds
